file, datetime, full string, float conversion attemptFLIR10000.jpg, 2022:09:23 09:56:18, 223 *
, ['2', '3', '0']FLIR10168.jpg, 2022:09:23 10:38:19, 229 +
, ['2', '2', '9']FLIR10169.jpg, 2022:09:23 10:38:33, 229 +
, ['2', '2', '9']FLIR10170.jpg, 2022:09:23 10:38:49, 229 +
, ['2', '2', '9']FLIR10171.jpg, 2022:09:23 10:39:04, 229 +
, ['2', '2', '9']FLIR10172.jpg, 2022:09:23 10:39:19, 228 +
, ['2', '2', '8']FLIR10173.jpg, 2022:09:23 10:39:34, 228 +
, ['2', '2', '8']FLIR10174.jpg, 2022:09:23 10:39:46, *259
, ['2', '5', '9']FLIR10175.jpg, 2022:09:23 10:40:09, *266
, ['2', '6', '6']FLIR10176.jpg, 2022:09:23 10:40:18, *270
, ['2', '7', '0']FLIR10177.jpg, 2022:09:23 10:40:34, *273
, ['2', '7', '3']FLIR10178.jpg, 2022:09:23 10:40:48, *275
, ['2', '7', '5']FLIR10179.jpg, 2022:09:23 10:41:05, *275
, ['2', '7', '5']FLIR10180.jpg, 2022:09:23 10:41:18, *275
, ['2', '7', '5']FLIR10181.jpg, 2022:09:23 10:41:34, *276
, ['2', '7', '6']FLIR10182.jpg, 2022:09:23 10:41:48, *277
, ['2', '7', '7']FLIR10183.jpg, 2022:09:23 10:42:04, *277
, ['2', '7', '7']FLIR10184.jpg, 2022:09:23 10:42:16, *276
, ['2', '7', '6']FLIR10185.jpg, 2022:09:23 10:42:34, *275
, ['2', '7', '5']FLIR10186.jpg, 2022:09:23 10:42:48, *275
, ['2', '7', '5']FLIR10187.jpg, 2022:09:23 10:43:04, *272
, ['2', '7', '2']FLIR10188.jpg, 2022:09:23 10:43:18, *272
, ['2', '7', '2']FLIR10189.jpg, 2022:09:23 10:43:34, *273
, ['2', '7', '3']FLIR10190.jpg, 2022:09:23 10:43:48, *274
, ['2', '7', '4']FLIR10191.jpg, 2022:09:23 10:44:04, *273
